Observation station,Year,Month,Day,Time [Local time],Wind speed [m/s],Snow depth [cm],Precipitation amount [mm],Air temperature [°C],Relative humidity [%],Dew-point temperature [°C],Gust speed [m/s]
"Sodankylä Tähtelä","2023","02","10","00:43","4.8","65","0","-1.1","90","-2.5","7.4"
"Sodankylä Tähtelä","2023","02","10","00:44","4.7","65","0","-1.1","90","-2.5","7.3"
"Sodankylä Tähtelä","2023","02","10","00:45","4.7","65","0","-1.1","90","-2.5","7.3"
"Sodankylä Tähtelä","2023","02","10","00:46","4.6","65","0","-1.1","90","-2.5","7.3"
"Sodankylä Tähtelä","2023","02","10","00:47","4.5","65","0","-1.1","90","-2.4","7.3"
"Sodankylä Tähtelä","2023","02","10","00:48","4.8","65","0","-1.1","90","-2.5","11.1"
"Sodankylä Tähtelä","2023","02","10","00:49","5","65","0","-1.1","90","-2.5","11.1"
"Sodankylä Tähtelä","2023","02","10","00:50","5.1","65","0","-1.1","90","-2.5","11.1"
"Sodankylä Tähtelä","2023","02","10","00:51","5.1","65","0","-1.1","90","-2.5","11.1"
"Sodankylä Tähtelä","2023","02","10","00:52","5.2","65","0","-1.1","90","-2.5","11.1"
"Sodankylä Tähtelä","2023","02","10","00:53","5.3","65","0","-1.1","90","-2.6","11.1"
"Sodankylä Tähtelä","2023","02","10","00:54","5.3","65","0","-1.2","90","-2.6","11.1"
"Sodankylä Tähtelä","2023","02","10","00:55","5.2","65","0","-1.2","90","-2.6","11.1"
"Sodankylä Tähtelä","2023","02","10","00:56","5.2","65","0","-1.2","90","-2.6","11.1"
"Sodankylä Tähtelä","2023","02","10","00:57","5.2","65","0","-1.2","90","-2.5","11.1"
"Sodankylä Tähtelä","2023","02","10","00:58","4.8","65","0","-1.2","90","-2.5","8.8"
"Sodankylä Tähtelä","2023","02","10","00:59","4.8","65","0","-1.2","90","-2.6","7.9"
"Sodankylä Tähtelä","2023","02","10","01:00","4.8","65","0","-1.2","90","-2.6","7.9"
"Sodankylä Tähtelä","2023","02","10","01:01","4.7","65","0","-1.2","90","-2.6","7.9"
"Sodankylä Tähtelä","2023","02","10","01:02","4.6","65","0","-1.1","90","-2.5","7.8"
"Sodankylä Tähtelä","2023","02","10","01:03","4.5","65","0","-1.1","90","-2.5","7.7"
"Sodankylä Tähtelä","2023","02","10","01:04","4.6","65","0","-1.1","90","-2.5","7.7"
"Sodankylä Tähtelä","2023","02","10","01:05","4.6","65","0","-1.2","90","-2.6","7.7"
"Sodankylä Tähtelä","2023","02","10","01:06","4.8","65","0","-1.2","90","-2.6","7.9"
"Sodankylä Tähtelä","2023","02","10","01:07","4.8","65","0","-1.1","90","-2.5","7.9"
"Sodankylä Tähtelä","2023","02","10","01:08","4.9","65","0","-1.1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:09","4.8","65","0","-1.1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:10","4.6","65","0","-1.1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:11","4.7","65","0","-1.1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:12","4.7","65","0","-1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:13","4.8","65","0","-1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:14","4.9","65","0","-1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:15","4.9","65","0","-1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:16","4.8","65","0","-1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:17","4.9","65","0","-1","90","-2.5","8.3"
"Sodankylä Tähtelä","2023","02","10","01:18","5","65","0","-1","90","-2.5","9.6"
"Sodankylä Tähtelä","2023","02","10","01:19","5","65","0","-1","90","-2.5","9.6"
"Sodankylä Tähtelä","2023","02","10","01:20","5.3","65","0","-1","90","-2.5","9.6"
"Sodankylä Tähtelä","2023","02","10","01:21","5.2","65","0","-1","89","-2.5","9.6"
"Sodankylä Tähtelä","2023","02","10","01:22","5.1","65","0","-1","89","-2.5","9.6"
"Sodankylä Tähtelä","2023","02","10","01:23","5","65","0","-1","89","-2.5","9.6"
"Sodankylä Tähtelä","2023","02","10","01:24","5","65","0","-1","89","-2.6","9.6"
"Sodankylä Tähtelä","2023","02","10","01:25","4.8","65","0","-1","89","-2.7","9.6"
"Sodankylä Tähtelä","2023","02","10","01:26","4.9","65","0","-1.1","89","-2.7","9.6"
"Sodankylä Tähtelä","2023","02","10","01:27","4.9","65","0","-1.1","89","-2.8","9.6"
"Sodankylä Tähtelä","2023","02","10","01:28","4.8","65","0","-1.1","89","-2.7","8.7"
"Sodankylä Tähtelä","2023","02","10","01:29","4.8","65","0","-1.1","89","-2.6","8.7"
"Sodankylä Tähtelä","2023","02","10","01:30","4.7","65","0","-1.1","89","-2.6","8.7"
"Sodankylä Tähtelä","2023","02","10","01:31","4.7","65","0","-1.2","89","-2.7","8.7"
"Sodankylä Tähtelä","2023","02","10","01:32","4.8","65","0","-1.2","89","-2.8","8.7"
"Sodankylä Tähtelä","2023","02","10","01:33","4.7","65","0","-1.2","89","-2.7","8.7"
"Sodankylä Tähtelä","2023","02","10","01:34","4.5","65","0","-1.2","89","-2.7","8.7"
"Sodankylä Tähtelä","2023","02","10","01:35","4.7","65","0","-1.2","89","-2.7","8.7"
"Sodankylä Tähtelä","2023","02","10","01:36","4.3","65","0","-1.2","89","-2.7","8.4"
"Sodankylä Tähtelä","2023","02","10","01:37","4.2","65","0","-1.1","89","-2.7","7.7"
"Sodankylä Tähtelä","2023","02","10","01:38","4","65","0","-1.1","89","-2.7","7.4"
"Sodankylä Tähtelä","2023","02","10","01:39","4","65","0","-1.1","89","-2.6","7.4"
"Sodankylä Tähtelä","2023","02","10","01:40","3.9","65","0","-1.1","89","-2.8","7.4"
"Sodankylä Tähtelä","2023","02","10","01:41","3.9","65","0","-1.2","89","-2.8","7.4"
"Sodankylä Tähtelä","2023","02","10","01:42","3.9","65","0","-1.2","89","-2.8","7.4"
"Sodankylä Tähtelä","2023","02","10","01:43","4","65","0","-1.2","89","-2.7","7.4"
"Sodankylä Tähtelä","2023","02","10","01:44","3.9","65","0","-1.1","89","-2.7","7.4"
"Sodankylä Tähtelä","2023","02","10","01:45","3.8","65","0","-1.1","89","-2.7","6.4"
"Sodankylä Tähtelä","2023","02","10","01:46","4","65","0","-1.2","89","-2.8","6.4"
"Sodankylä Tähtelä","2023","02","10","01:47","4.1","65","0","-1.2","89","-2.8","6.6"
"Sodankylä Tähtelä","2023","02","10","01:48","4.2","65","0","-1.2","89","-2.8","6.6"
"Sodankylä Tähtelä","2023","02","10","01:49","4.2","65","0","-1.1","89","-2.7","6.6"
"Sodankylä Tähtelä","2023","02","10","01:50","4.3","65","0","-1.2","89","-2.8","7"
"Sodankylä Tähtelä","2023","02","10","01:51","4.1","65","0","-1.2","89","-2.8","7"
"Sodankylä Tähtelä","2023","02","10","01:52","4.2","65","0","-1.2","89","-2.9","7"
"Sodankylä Tähtelä","2023","02","10","01:53","4.1","65","0","-1.2","89","-2.8","7"
"Sodankylä Tähtelä","2023","02","10","01:54","4.3","65","0","-1.2","89","-2.8","7"
"Sodankylä Tähtelä","2023","02","10","01:55","4.3","65","0","-1.2","89","-2.9","7"
"Sodankylä Tähtelä","2023","02","10","01:56","4.3","65","0","-1.2","89","-2.9","7"
"Sodankylä Tähtelä","2023","02","10","01:57","4.3","65","0","-1.2","89","-2.8","7"
"Sodankylä Tähtelä","2023","02","10","01:58","4.3","65","0","-1.2","89","-2.8","7.3"
"Sodankylä Tähtelä","2023","02","10","01:59","4.5","65","0","-1.2","89","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:00","4.5","65","0","-1.2","89","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:01","4.8","65","0","-1.2","89","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:02","4.9","65","0","-1.3","89","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:03","5.1","65","0","-1.3","89","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:04","5","65","0","-1.3","89","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:05","5","65","0","-1.3","89","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:06","5.1","65","0","-1.3","89","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:07","5.3","65","0","-1.3","89","-2.9","8.5"
"Sodankylä Tähtelä","2023","02","10","02:08","5.3","65","0","-1.3","89","-2.8","8.5"
"Sodankylä Tähtelä","2023","02","10","02:09","5.3","65","0","-1.2","89","-2.8","8.5"
"Sodankylä Tähtelä","2023","02","10","02:10","5.2","65","0","-1.2","89","-2.8","8.5"
"Sodankylä Tähtelä","2023","02","10","02:11","5.1","65","0","-1.2","89","-2.8","8.5"
"Sodankylä Tähtelä","2023","02","10","02:12","5.2","65","0","-1.2","89","-2.8","8.5"
"Sodankylä Tähtelä","2023","02","10","02:13","5.2","65","0","-1.2","89","-2.9","8.5"
"Sodankylä Tähtelä","2023","02","10","02:14","5.2","65","0","-1.2","88","-2.9","8.5"
"Sodankylä Tähtelä","2023","02","10","02:15","5.2","65","0","-1.3","89","-2.9","8.5"
"Sodankylä Tähtelä","2023","02","10","02:16","5.2","65","0","-1.3","89","-2.9","8.5"
"Sodankylä Tähtelä","2023","02","10","02:17","5.1","65","0","-1.3","89","-2.9","8.1"
"Sodankylä Tähtelä","2023","02","10","02:18","5","65","0","-1.3","89","-3","8.1"
"Sodankylä Tähtelä","2023","02","10","02:19","4.8","65","0","-1.4","89","-3","8.1"
"Sodankylä Tähtelä","2023","02","10","02:20","4.9","65","0","-1.4","89","-3","7.2"
"Sodankylä Tähtelä","2023","02","10","02:21","4.9","65","0","-1.4","89","-3","8"
"Sodankylä Tähtelä","2023","02","10","02:22","4.8","65","0","-1.5","89","-3","8"
"Sodankylä Tähtelä","2023","02","10","02:23","4.6","65","0","-1.5","89","-3.1","8"
"Sodankylä Tähtelä","2023","02","10","02:24","4.8","65","0","-1.5","89","-3","8"
"Sodankylä Tähtelä","2023","02","10","02:25","4.8","65","0","-1.5","89","-3","8"
"Sodankylä Tähtelä","2023","02","10","02:26","4.8","65","0","-1.5","89","-3","8"
"Sodankylä Tähtelä","2023","02","10","02:27","4.9","65","0","-1.4","90","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:28","5.1","65","0","-1.4","90","-2.9","8.3"
"Sodankylä Tähtelä","2023","02","10","02:29","5.2","65","0","-1.4","89","-3","8.3"
"Sodankylä Tähtelä","2023","02","10","02:30","5.2","65","0","-1.4","89","-3","8.3"
"Sodankylä Tähtelä","2023","02","10","02:31","5.2","65","0","-1.5","89","-3","8.3"
"Sodankylä Tähtelä","2023","02","10","02:32","5.3","65","0","-1.5","89","-3","8.3"
"Sodankylä Tähtelä","2023","02","10","02:33","5.4","65","0","-1.5","89","-3.1","8.3"
"Sodankylä Tähtelä","2023","02","10","02:34","5.3","65","0","-1.5","89","-3.1","8.3"
"Sodankylä Tähtelä","2023","02","10","02:35","5.2","65","0","-1.5","89","-3","8.3"
"Sodankylä Tähtelä","2023","02","10","02:36","5.3","65","0","-1.5","90","-3","8.3"
"Sodankylä Tähtelä","2023","02","10","02:37","5.2","65","0","-1.5","89","-3.1","8.3"
"Sodankylä Tähtelä","2023","02","10","02:38","5.2","65","0","-1.6","89","-3.1","8.3"
"Sodankylä Tähtelä","2023","02","10","02:39","5.3","65","0","-1.6","89","-3.1","8.3"
"Sodankylä Tähtelä","2023","02","10","02:40","5.3","65","0","-1.6","89","-3.1","9"
"Sodankylä Tähtelä","2023","02","10","02:41","5.2","65","0","-1.6","90","-3.1","9"
"Sodankylä Tähtelä","2023","02","10","02:42","5.1","65","0","-1.6","89","-3.1","9"
"Sodankylä Tähtelä","2023","02","10","02:43","5","65","0","-1.6","89","-3.1","9"
"Sodankylä Tähtelä","2023","02","10","02:44","4.9","65","0","-1.7","89","-3.2","9"
"Sodankylä Tähtelä","2023","02","10","02:45","4.9","65","0","-1.7","89","-3.2","9"
"Sodankylä Tähtelä","2023","02","10","02:46","4.9","65","0","-1.7","89","-3.2","9"
"Sodankylä Tähtelä","2023","02","10","02:47","4.7","65","0","-1.7","90","-3.2","9"
"Sodankylä Tähtelä","2023","02","10","02:48","4.5","65","0","-1.7","90","-3.2","9"
"Sodankylä Tähtelä","2023","02","10","02:49","4.4","65","0","-1.7","90","-3.2","9"
"Sodankylä Tähtelä","2023","02","10","02:50","4.2","65","0","-1.7","89","-3.3","6.9"
"Sodankylä Tähtelä","2023","02","10","02:51","4.2","65","0","-1.8","89","-3.3","6.9"
"Sodankylä Tähtelä","2023","02","10","02:52","4.2","65","0","-1.8","89","-3.3","6.9"
"Sodankylä Tähtelä","2023","02","10","02:53","4.1","65","0","-1.8","89","-3.3","6.9"
"Sodankylä Tähtelä","2023","02","10","02:54","4","65","0","-1.8","89","-3.3","6.9"
"Sodankylä Tähtelä","2023","02","10","02:55","3.7","65","0","-1.8","89","-3.3","6.9"
"Sodankylä Tähtelä","2023","02","10","02:56","3.5","65","0","-1.9","89","-3.4","6.3"
"Sodankylä Tähtelä","2023","02","10","02:57","3.4","65","0","-1.9","89","-3.4","6.3"
"Sodankylä Tähtelä","2023","02","10","02:58","3.3","65","0","-1.9","89","-3.4","5.9"
"Sodankylä Tähtelä","2023","02","10","02:59","3.2","65","0","-1.9","90","-3.4","5.9"
"Sodankylä Tähtelä","2023","02","10","03:00","3","65","0","-1.9","90","-3.3","5.9"
"Sodankylä Tähtelä","2023","02","10","03:01","3","65","0","-1.9","90","-3.3","5.5"
"Sodankylä Tähtelä","2023","02","10","03:02","3.1","65","0","-1.8","90","-3.2","6.1"
"Sodankylä Tähtelä","2023","02","10","03:03","3.3","65","0","-1.8","90","-3.2","6.1"
"Sodankylä Tähtelä","2023","02","10","03:04","3.3","65","0","-1.9","90","-3.3","6.1"
"Sodankylä Tähtelä","2023","02","10","03:05","3.5","65","0","-1.9","90","-3.4","6.1"
"Sodankylä Tähtelä","2023","02","10","03:06","3.6","65","0","-1.9","90","-3.4","6.1"
"Sodankylä Tähtelä","2023","02","10","03:07","3.8","65","0","-1.9","90","-3.3","6.1"
"Sodankylä Tähtelä","2023","02","10","03:08","3.7","65","0","-1.9","90","-3.3","6.1"
"Sodankylä Tähtelä","2023","02","10","03:09","3.8","65","0","-2","90","-3.4","6.1"
"Sodankylä Tähtelä","2023","02","10","03:10","3.9","65","0","-2","90","-3.4","6.1"
"Sodankylä Tähtelä","2023","02","10","03:11","3.8","65","0","-2","90","-3.4","6.1"
"Sodankylä Tähtelä","2023","02","10","03:12","3.8","65","0","-2","90","-3.4","6.1"
"Sodankylä Tähtelä","2023","02","10","03:13","3.6","65","0","-2","90","-3.4","6.1"
"Sodankylä Tähtelä","2023","02","10","03:14","3.7","65","0","-2.1","90","-3.5","6.1"
"Sodankylä Tähtelä","2023","02","10","03:15","3.7","65","0","-2.1","90","-3.6","6.1"
"Sodankylä Tähtelä","2023","02","10","03:16","3.8","65","0","-2.1","90","-3.5","6.1"
"Sodankylä Tähtelä","2023","02","10","03:17","3.8","65","0","-2.1","91","-3.4","6.7"
"Sodankylä Tähtelä","2023","02","10","03:18","3.9","65","0","-2.1","91","-3.4","6.7"
"Sodankylä Tähtelä","2023","02","10","03:19","4","65","0","-2.1","91","-3.4","6.7"
"Sodankylä Tähtelä","2023","02","10","03:20","4","65","0","-2.1","91","-3.4","6.7"
"Sodankylä Tähtelä","2023","02","10","03:21","4.1","65","0","-2.1","91","-3.4","6.7"
"Sodankylä Tähtelä","2023","02","10","03:22","4.2","65","0","-2.1","91","-3.4","6.7"
"Sodankylä Tähtelä","2023","02","10","03:23","4.2","65","0","-2.1","91","-3.4","6.7"
"Sodankylä Tähtelä","2023","02","10","03:24","4.1","65","0","-2.1","91","-3.5","6.7"
"Sodankylä Tähtelä","2023","02","10","03:25","4.2","65","0","-2.1","91","-3.4","6.7"
"Sodankylä Tähtelä","2023","02","10","03:26","4.2","65","0","-2.2","91","-3.5","6.7"
"Sodankylä Tähtelä","2023","02","10","03:27","4.1","65","0","-2.2","91","-3.6","6.6"
"Sodankylä Tähtelä","2023","02","10","03:28","4.2","65","0","-2.3","91","-3.6","6.6"
"Sodankylä Tähtelä","2023","02","10","03:29","4.1","65","0","-2.2","91","-3.5","6.3"
"Sodankylä Tähtelä","2023","02","10","03:30","4.1","65","0","-2.2","91","-3.5","6.3"
"Sodankylä Tähtelä","2023","02","10","03:31","4","65","0","-2.3","91","-3.5","6.3"
"Sodankylä Tähtelä","2023","02","10","03:32","3.9","65","0","-2.3","91","-3.5","6.2"
"Sodankylä Tähtelä","2023","02","10","03:33","3.9","65","0","-2.3","91","-3.5","6.2"
"Sodankylä Tähtelä","2023","02","10","03:34","4","65","0","-2.3","91","-3.5","6.2"
"Sodankylä Tähtelä","2023","02","10","03:35","3.9","65","0","-2.3","91","-3.5","6.2"
"Sodankylä Tähtelä","2023","02","10","03:36","3.9","65","0","-2.3","91","-3.6","6.2"
"Sodankylä Tähtelä","2023","02","10","03:37","3.8","65","0","-2.3","91","-3.6","6.2"
"Sodankylä Tähtelä","2023","02","10","03:38","3.7","65","0","-2.4","91","-3.7","5.8"
"Sodankylä Tähtelä","2023","02","10","03:39","3.6","65","0","-2.5","90","-3.8","5.5"
"Sodankylä Tähtelä","2023","02","10","03:40","3.5","65","0","-2.5","91","-3.8","5.5"
"Sodankylä Tähtelä","2023","02","10","03:41","3.5","65","0","-2.5","91","-3.7","5.5"
"Sodankylä Tähtelä","2023","02","10","03:42","3.4","65","0","-2.5","91","-3.7","5.5"
"Sodankylä Tähtelä","2023","02","10","03:43","3.3","65","0","-2.5","91","-3.7","5.5"
"Sodankylä Tähtelä","2023","02","10","03:44","3.2","65","0","-2.5","91","-3.8","5.5"
"Sodankylä Tähtelä","2023","02","10","03:45","3.2","65","0","-2.5","91","-3.7","5.5"
"Sodankylä Tähtelä","2023","02","10","03:46","3","65","0","-2.5","92","-3.7","4.9"
"Sodankylä Tähtelä","2023","02","10","03:47","3","65","0","-2.5","92","-3.6","5"
"Sodankylä Tähtelä","2023","02","10","03:48","3","65","0","-2.5","92","-3.7","5"
"Sodankylä Tähtelä","2023","02","10","03:49","2.9","65","0","-2.6","91","-3.8","5"
"Sodankylä Tähtelä","2023","02","10","03:50","2.8","65","0","-2.6","91","-3.9","5"
"Sodankylä Tähtelä","2023","02","10","03:51","2.7","65","0","-2.6","91","-3.8","5"
"Sodankylä Tähtelä","2023","02","10","03:52","2.6","65","0","-2.6","92","-3.8","5"
"Sodankylä Tähtelä","2023","02","10","03:53","2.7","65","0","-2.6","91","-3.8","5"
"Sodankylä Tähtelä","2023","02","10","03:54","2.7","65","0","-2.6","92","-3.8","5"
"Sodankylä Tähtelä","2023","02","10","03:55","2.6","65","0","-2.6","92","-3.8","5"
"Sodankylä Tähtelä","2023","02","10","03:56","2.7","65","0","-2.7","92","-3.8","5"
"Sodankylä Tähtelä","2023","02","10","03:57","2.5","65","0","-2.7","91","-3.9","4.8"
"Sodankylä Tähtelä","2023","02","10","03:58","2.7","65","0","-2.8","91","-4","5.3"
"Sodankylä Tähtelä","2023","02","10","03:59","2.8","65","0","-2.8","91","-4","5.3"
"Sodankylä Tähtelä","2023","02","10","04:00","2.9","65","0","-2.8","91","-4","5.3"
"Sodankylä Tähtelä","2023","02","10","04:01","3","65","0","-2.8","92","-3.9","5.3"
"Sodankylä Tähtelä","2023","02","10","04:02","3.1","65","0","-2.8","92","-4","5.3"
"Sodankylä Tähtelä","2023","02","10","04:03","3.2","65","0","-2.9","92","-4","5.3"
"Sodankylä Tähtelä","2023","02","10","04:04","3.2","65","0","-2.9","92","-4.1","5.3"
"Sodankylä Tähtelä","2023","02","10","04:05","3.4","65","0","-2.9","92","-4.1","5.3"
"Sodankylä Tähtelä","2023","02","10","04:06","3.4","65","0","-2.9","92","-4.1","5.3"
"Sodankylä Tähtelä","2023","02","10","04:07","3.5","65","0","-3","92","-4.1","5.3"
"Sodankylä Tähtelä","2023","02","10","04:08","3.5","65","0","-3","92","-4.1","5.2"
"Sodankylä Tähtelä","2023","02","10","04:09","3.5","65","0","-3","92","-4.1","5.2"
"Sodankylä Tähtelä","2023","02","10","04:10","3.5","65","0","-3","92","-4.1","5.2"
"Sodankylä Tähtelä","2023","02","10","04:11","3.6","65","0","-3","92","-4.2","5.3"
"Sodankylä Tähtelä","2023","02","10","04:12","3.5","65","0","-3.1","92","-4.2","5.3"
"Sodankylä Tähtelä","2023","02","10","04:13","3.6","65","0","-3.1","92","-4.2","5.3"
"Sodankylä Tähtelä","2023","02","10","04:14","3.7","65","0","-3.1","92","-4.1","6.2"
"Sodankylä Tähtelä","2023","02","10","04:15","3.7","65","0","-3.1","93","-4.1","6.2"
"Sodankylä Tähtelä","2023","02","10","04:16","3.7","65","0","-3.1","93","-4.1","6.2"
"Sodankylä Tähtelä","2023","02","10","04:17","3.8","65","0","-3.1","93","-4.1","6.2"
"Sodankylä Tähtelä","2023","02","10","04:18","3.8","65","0","-3.1","93","-4.1","6.2"
"Sodankylä Tähtelä","2023","02","10","04:19","3.8","65","0","-3.1","92","-4.2","6.2"
"Sodankylä Tähtelä","2023","02","10","04:20","3.7","65","0","-3.2","92","-4.2","6.2"
"Sodankylä Tähtelä","2023","02","10","04:21","3.7","65","0","-3.2","93","-4.2","6.2"
"Sodankylä Tähtelä","2023","02","10","04:22","3.7","65","0","-3.2","92","-4.2","6.2"
"Sodankylä Tähtelä","2023","02","10","04:23","3.7","65","0","-3.2","92","-4.2","6.2"
"Sodankylä Tähtelä","2023","02","10","04:24","3.6","65","0","-3.2","92","-4.3","5.5"
"Sodankylä Tähtelä","2023","02","10","04:25","3.7","65","0","-3.2","93","-4.3","5.8"
"Sodankylä Tähtelä","2023","02","10","04:26","3.7","65","0","-3.3","93","-4.3","5.8"
"Sodankylä Tähtelä","2023","02","10","04:27","3.7","65","0","-3.3","93","-4.3","5.8"
"Sodankylä Tähtelä","2023","02","10","04:28","3.8","65","0","-3.3","93","-4.3","5.8"
"Sodankylä Tähtelä","2023","02","10","04:29","3.9","65","0","-3.3","93","-4.2","5.8"
"Sodankylä Tähtelä","2023","02","10","04:30","4.1","65","0","-3.3","94","-4.2","6.3"
"Sodankylä Tähtelä","2023","02","10","04:31","4.2","65","0","-3.2","94","-4.1","6.3"
"Sodankylä Tähtelä","2023","02","10","04:32","4.3","65","0","-3.2","94","-4.1","6.3"
"Sodankylä Tähtelä","2023","02","10","04:33","4.3","65","0","-3.2","94","-4.1","6.3"
"Sodankylä Tähtelä","2023","02","10","04:34","4.4","65","0","-3.2","94","-4.1","6.3"
"Sodankylä Tähtelä","2023","02","10","04:35","4.4","65","0","-3.2","94","-4.1","6.3"
"Sodankylä Tähtelä","2023","02","10","04:36","4.3","65","0","-3.3","94","-4.2","6.3"
"Sodankylä Tähtelä","2023","02","10","04:37","4.4","65","0","-3.3","93","-4.2","6.3"
"Sodankylä Tähtelä","2023","02","10","04:38","4.4","65","0","-3.3","93","-4.2","6.3"
"Sodankylä Tähtelä","2023","02","10","04:39","4.5","65","0","-3.3","93","-4.2","6.4"
"Sodankylä Tähtelä","2023","02","10","04:40","4.5","65","0","-3.3","93","-4.2","6.4"
